slug,название,статус,ссылка,канал,просмотры,длительность (мин),опубликован,язык,расшифровка,попыток,о чём ролик,итог,блогер хвалит,блогер ругает,ошибка,обновлено
mars-2099,Mars 2099,не найден,,,,,,,,1,,,,,gn8607ULAaU: в ролике нет мнения блогера об игре; LZSHJM61FDU: мало речи блогера (27 символов в минуту),2026-09-16 10:50
marsupilami-2-salsa-palombia,Marsupilami 2 - Salsa Palombia,не найден,,,,,,,,3,,,,,6OBBSX8lG5w: whisper: no speech recognized in 6OBBSX8lG5w.webm; captions: нет субтитров; SD_6WKxUFi8: whisper: no speech recognized in SD_6WKxUFi8.webm; captions: нет субтитров; xe9Kb3A_jB4: мало речи блогера (1 символов в минуту),2026-09-16 10:43
marvels-wolverine,Marvel's Wolverine,готов,https://www.youtube.com/watch?v=EVdp0NNVUoU,theRadBrad,1818883,107.2,1 day ago,en,Whisper,2,"В данном ролике блогер знакомится с игрой Marvel's Wolverine, оценивая её боевую систему, сюжетную подачу и общую атмосферу. Автор демонстрирует игровой процесс, уделяя внимание динамике сражений, механике регенерации и системе прогрессии персонажа.","Блогер крайне доволен игрой, называя вступление одним из лучших в индустрии и отмечая, что проект полностью соответствует его высоким ожиданиям. Несмотря на некоторую линейность в начале и нюансы в прокачке на отдельных этапах, общее впечатление от игры остается очень позитивным.","Боевая система с когтями ощущается очень динамичной, быстрой и плавной, полностью соответствуя образу Вулверлина; Удобная механика постепенного восстановления здоровья во время сражения; Хорошая система прокачки способностей и улучшений; Впечатляющее и сильное вступление к игре; Наличие уникальной истории, созданной специально для этой игры","Игрок может столкнуться с ситуацией, когда на текущем уровне невозможно улучшить доступные способности; Линейность геймплея на начальном этапе",,2026-09-16 10:20
masonshaven,MasonsHaven,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:11
medieval-juice-crafter,Medieval Juice Crafter,готов,https://www.youtube.com/watch?v=hIxDlGbO3qc,FloppySims,11588,56.7,3 months ago,en,Whisper,1,"В ролике блогер знакомится с процессом создания напитков в Medieval Juice Crafter, где ему предстоит взаимодействовать с оборудованием и выполнять задания жителей. Автор показывает путь от первых шагов в производстве соков до работы с клиентами и отслеживания персонажей на карте.","Общее впечатление блогера смешанное: несмотря на приятную механику производства и визуально аппетитные напитки, игра показалась ему медленной, монотонной и сложной в управлении из-за запутанных механик смешивания ингредиентов.",Приятная механика производства соков; Наличие системы отслеживания персонажей на карте; Наличие в игре чаек; Напитки выглядят аппетитно; Удобный поиск клиентов,Сложность и непонятная механика смешивания соков; Неудобный интерфейс или ошибки управления; Неочевидное расположение нужных объектов; Медленный темп игры; Наличие лагов в игре,,2026-09-16 10:24
melaka-1511-the-malay-chronicles-before-the-storm,Melaka 1511: The Malay Chronicles - Before The Storm,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:53
midnight-news-report,Midnight News Report,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:52
might-and-poison-mushroom,Might & Poison Mushroom,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 13:09
mixed-spirits-bartender,Mixed Spirits: Bartender,готов,https://www.youtube.com/watch?v=P64GBcdU6N0,Stuff+,885,56.5,2 months ago,en,Whisper,2,"В ролике блогер знакомится с демоверсией Mixed Spirits: Bartender, в которой игроку предстоит работать миксологом, соблюдая пропорции и вкусовые профили напитков. Автор оценивает глубину симуляции, систему прогрессии, механику подготовки ингредиентов и социальные функции игры. Блогер подробно рассматривает игровой процесс, отмечая динамику и визуальное оформление проекта.","Блогер крайне доволен Mixed Spirits: Bartender, считая её значительно более проработанной и содержательной по сравнению с аналогичными проектами в жанре. Несмотря на некоторые странности в управлении, интерфейсе и отдельных мини-играх, автор планирует ознакомиться с полной версией игры.",Разнообразие рецептов и вкусовых сочетаний; Интересная и увлекательная тематика игры; Наличие физически симулированного льда; Возможность фильтрации ингредиентов; Динамическое изменение внешнего вида напитка,Непонятный интерфейс или функции некоторых элементов; Не очень интересная мини-игра по измельчению соли; Неудобное управление при попытке перетащить стакан; Странная механика дробления ингредиентов,,2026-09-16 10:32
monky-os,Monky OS,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:26
moonlighter-2-the-endless-vault,Moonlighter 2: The Endless Vault,готов,https://www.youtube.com/watch?v=ZNa3Zqc-3uc,Vinesauce: The Full Sauce,32678,86.7,2 weeks ago,en,Whisper,2,"В данном ролике Vinny делится впечатлениями от прохождения Moonlighter 2: The Endless Vault, оценивая прогресс серии и глубину игровых механик. Блогер анализирует развитие боевой системы, управление магазином и систему прогрессии, сравнивая проект с такими тайтлами, как Zelda: Tears of the Kingdom и Slime Rancher.","Общее впечатление блогера от игры положительное: он считает Moonlighter 2: The Endless Vault качественным и отполированным проектом с отличной боевой составляющей. Несмотря на некоторые сложности и высокую стоимость прокачки, автор отмечает, что игра может затянуть игрока надолго.",Улучшенная и более проработанная боевая система; игра кажется довольно крутой; в игре много улучшений и дополнений; боевая система в этой части определенно лучше; Наличие уникальных игровых механик и эффектов,некоторые дополнения вызвали неоднозначную реакцию у игроков; некоторые испытания в игре оказались довольно сложными; высокая стоимость некоторых улучшений; Неоправданно низкие цены на некоторые товары; Медленный темп введения новых функций,,2026-09-16 10:11
moonwrought-bastion,Moonwrought Bastion,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:27
my-fishing-world-2,My Fishing World 2,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:12
nba-2k27,NBA 2K27,готов,https://www.youtube.com/watch?v=dXuKpNcwEhY,NotYourAverageFlight,707459,106.4,2 weeks ago,en,Whisper,2,"В ролике Flights делится своими первыми впечатлениями от NBA 2K27, уделяя особое внимание режиму Park. Блогер активно взаимодействует с сообществом, обсуждает систему прогрессии и делится советами по управлению персонажем в ходе своего первого игрового дня.","Общее впечатление блогера остается преимущественно негативным: несмотря на удобство механик ротации и наличие системы достижений, автор называет игру «неудачным продуктом» из-за отсутствия инноваций и технических проблем. По ходу ролика мнение остается смешанным — блогер продолжает играть и использовать игровые механики, но постоянно выражает недовольство качеством защиты и физикой взаимодействия.",хорошие линии для движения; хорошие показатели по перехватам для первого дня; Плавность и понятность механики ротации игроков; Наличие системы получения очков за достижения (badges),неудобные настройки управления (вибрация/триггеры); Неудовлетворительное качество защиты в игре; Общее разочарование качеством игры; отсутствие отличий от предыдущей части; несовершенная физика взаимодействия игроков (липкость),,2026-09-16 10:16
nhl-27,NHL 27,готов,https://www.youtube.com/watch?v=Ew-O0rvTv1I,Nasher,288969,20.0,12 days ago,en,Whisper,2,"Блогер делится своими первыми впечатлениями от NHL 27, отмечая, что изменения в геймплее кажутся незначительными и могли бы быть реализованы в виде патча для предыдущей части. Он хвалит улучшенные механики перехвата шайбы, новые углы камеры и систему проверки шайбы (poke checks), однако критикует систему выносливости игроков и возвращение штрафов от ИИ. В целом, блогер считает, что игра движется в правильном направлении, но для ежегодного цикла обновлений прогресса недостаточно.","Блогер считает, что NHL 27 — это шаг в правильном направлении с заметными улучшениями в некоторых механиках (перехваты, проверка шайбы), но общая динамика изменений слишком мала для новой части. Игра может понравиться любителям онлайн-режима из-за обновленной презентации, но для тех, кто ждет серьезных инноваций, прогресс может показаться недостаточным.",Улучшенные углы камеры при повторах; Улучшенная механика перехвата шайбы; Хорошая система проверки шайбы (poke checks); Улучшенная механика поднятия клюшки,Слишком быстрая потеря выносливости у игроков; Слабая и неудобная механика LT; Возвращение штрафов от ИИ; Недостаточный объем изменений для ежегодного обновления,,2026-09-16 10:17
neko-neko-shop,Neko Neko Shop,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:22
neon-dodge,Neon Dodge,готов,https://www.youtube.com/watch?v=58myyVWF0WI,Majoindies,31,17.6,5 months ago,es,Whisper,1,"Блогер делится впечатлениями от игры Neon Dodge, которую он решил протестировать по рекомендации из Twitter. Он отмечает, что игра очень динамичная, яркая и обладает множеством различных механик на каждом уровне. Несмотря на то, что игра может вызвать легкое головокружение из-за высокой скорости, блогер считает её очень увлекательной и оригинальной. Он особенно выделяет разнообразие игровых элементов и то, что игра является испанским инди-проектом.","Блогер в восторге от Neon Dodge, называя её очень крутой и интересной игрой. Он хвалит визуальный стиль и разнообразие механик, а также отмечает, что игра отлично подходит для тех, кто любит быстрые аркадные испытания.",игра очень красивая; оригинальные и разнообразные механики; увлекательный игровой процесс; удобная механика прохождения уровней,высокая сложность запоминания всех действий; игра может вызывать головокружение,,2026-09-16 10:28
no-away-from-keyboard,No Away From Keyboard,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:07
no-fly-zone,No Fly Zone,не найден,,,,,,,,1,,,,,среди роликов нет летсплеев,2026-09-16 19:42
no-quarter,No Quarter,готов,https://www.youtube.com/watch?v=PDIj_A6dtBY,Jess,43,40.0,11 days ago,en,Whisper,1,"Блогер представляет свою игру No Quarter для системы Atari 2600, вдохновленную Money Wars. Он описывает процесс разработки, технические ограничения компилятора Batari Basic и свои творческие задачи. В ролике автор делится впечатлениями от финального состояния проекта, сравнивает его с предыдущими работами и обсуждает влияние классических японских игр на свой стиль дизайна. Также блогер подробно рассуждает о технических нюансах реализации графики и механик на ограниченном железе.","Автор гордится результатом работы над No Quarter, отмечая значительный прогресс в качестве исполнения по сравнению со своими прошлыми проектами. Несмотря на жесткие технические ограничения Atari 2600 и Batari Basic, ему удалось создать функциональную игру с достойной графикой и продуманными деталями, такими как плавность движения объектов и визуальные эффекты.","Игра получилась качественнее предыдущего проекта автора; Графика в игре значительно лучше, чем в предыдущей работе автора; Наличие версии игры в 4K обеспечивает хорошую визуальную составляющую",Технические ограничения системы и компилятора не позволили реализовать первоначальный план; Невозможность реализовать дробное движение объектов из-за особенностей системы; Необходимость использования бинарно-совместимых десятичных чисел для счета очков,,2026-09-15 18:18
of-nooks-and-nonsense-a-pirate-hidden-object-game,Of Nooks and Nonsense: A Pirate Hidden Object Game,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:16
old-market-restored,Old Market Restored,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:02
once-before-us,Once Before Us,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 15:59
onimusha-way-of-the-sword,Onimusha: Way of the Sword,готов,https://www.youtube.com/watch?v=mhnIKRRYcys,Hollow,207652,43.5,3 months ago,en,Whisper,3,"Блогер делится впечатлениями от демоверсии Onimusha: Way of the Sword, отмечая, что игра очень понравилась ему по динамике боя и атмосфере. Он хвалит визуальную составляющую, отзывчивость управления и систему боевых механик, включая парирование и разрушение врагов. Несмотря на некоторые трудности с уклонением, он признает, что игровой процесс очень увлекательный и заставляет его хотеть купить полную версию игры.","Блогер крайне доволен игрой и планирует пройти её после релиза, отметив, что демоверсия пролетела очень быстро из-за увлекательного геймплея.",высокое качество графики на максимальных настройках; приятное ощущение от парирования; атмосферная визуальная составляющая; удовлетворительная механика разрезания врагов пополам; приятное ощущение от боевой системы,сложность управления уклонением; неожиданно пугающие моменты в стиле хоррора,,2026-09-16 18:43
oops-youre-the-hero,Oops! You're the Hero!,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:28
orbitals,Orbitals,готов,https://www.youtube.com/watch?v=rEJIWfeRrN0,CyYuVtuber,20541,56.7,13 days ago,en,Whisper,2,"Блогер делится впечатлениями от кооперативного приключения Orbitals, которое выполнено в стиле аниме 80-х и 90-х годов. Он отмечает визуальный стиль игры, сравнивая его с классическими работами, и хвалит внимание к деталям. В ходе прохождения блогер описывает специфические механики управления, такие как управление кораблем и использование различных инструментов, а также отмечает сложность некоторых моментов. Несмотря на некоторые трудности с управлением, он получает удовольствие от процесса и атмосферы игры.","Orbitals — это атмосферное кооперативное приключение с выразительным визуальным стилем в духе старых аниме. Блогер оценил графику и внимание к деталям, однако отметил, что управление кораблем может показаться странным или ограниченным. Несмотря на некоторые технические нюансы и сложность механик, игра оставляет приятное впечатление благодаря своей эстетике и динамике.",Визуальный стиль игры напоминает классическое аниме; Внимание к деталям в графике; Игра выглядит как качественное 3D-переосмысление 2D-стилистики; Удовлетворительная анимация нажатия кнопок; Приятная музыка,Сложное и специфическое управление кораблем; Механика управления кажется ограниченной; Некоторые элементы управления работают нестабильно,,2026-09-16 10:06
out-of-range,Out of Range,готов,https://www.youtube.com/watch?v=9dSWbUpmfHI,QaizherOnline,59,35.8,2 years ago,en,Whisper,1,"Блогер делится впечатлениями от раннего билда игры Out of Range, описывая её как пазл-физик. Он отмечает сложность управления и взаимодействия с объектами, а также периодически выражает замешательство из-за не всегда понятных механик и интерфейса.","Блогер отмечает, что Out of Range — это довольно сложная физическая головоломка с непростым управлением. Несмотря на технические трудности и порой запутанные механики, он находит процесс решения задач интересным.",Использование захвата объектов позволяет точно перемещать их; Механика притяжения в определенных зонах упрощает задачу; Удобство использования функции притяжения вместо веревки; Понятное изменение управления при использовании веревки; Удобство фиксации проводов на поверхности,Сложность управления и физики игры; Неудобные или непонятные элементы управления; Непонятный интерфейс и индикаторы; Сложность взаимодействия с тяжелыми объектами; Неочевидные способы решения задач,,2026-09-16 19:27
panchito-delivery-project-elevator,Panchito Delivery: Project Elevator,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:50
paratopic-overdub,Paratopic: Overdub,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:38
pawmart-tiny-market,PawMart Tiny Market,готов,https://www.youtube.com/watch?v=2mVQZg7Lwn8,RinKa Plays,11,16.7,1 day ago,en,Whisper,1,"Блогер делится своими впечатлениями от игры PawMart Tiny Market, описывая её как спокойный idle-симулятор. Основная претензия игрока заключается в том, что в игре практически нет возможности для ручного взаимодействия с игровым процессом: помимо покупки улучшений, совершать какие-либо действия для ускорения прогресса невозможно. Блогер отмечает, что игра хорошо сделана, но из-за отсутствия активного геймплея она может показаться скучной для тех, кто предпочитает участвовать в процессе, а не просто наблюдать за происходящим в фоновом режиме.","Блогер оценивает игру как достойную, но с оговорками из-за её чрезмерной пассивности. Он ставит ей оценку между «пальцем вверх» и промежуточным вариантом (примерно 75 градусов наклона к «пальцу вверх»), отмечая, что если бы в игре можно было делать что-то вручную, оценка была бы выше.",Игра хорошо сделана; Появление достижений; Возможность самостоятельно выбирать и покупать улучшения; Положительно оценивает возможность выбора нескольких товаров покупателями,Отсутствие возможности выполнять действия вручную; Скучный геймплей из-за пассивности игрока; Малое количество доступных уровней изменения цены; Медленная работа сотрудников,,2026-09-16 10:25
perfect-place,Perfect Place,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:22
pinball-vr-classic-arcade-simulator,Pinball VR: Classic Arcade Simulator,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:15
planetary-genesis-felis,Planetary Genesis: Felis,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:52
poly-peacocks,Poly Peacocks,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:19
popcorn-and-premieren,Popcorn & Premieren,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:50
reset-0-entropy-architect,RESET-0: Entropy Architect,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:34
roguelike-card-gamebusiness-empire,ROGUELIKE CARD GAME:BUSINESS EMPIRE,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:15
rpg-system,RPG System,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:40
ride-up-together,Ride Up Together,готов,https://www.youtube.com/watch?v=9J-bJRHMKZ8,ItsRitchieW and CrateUp,666,25.2,5 days ago,en,Whisper,1,"Блогер делится впечатлениями от кооперативного паркур-челленджа Ride Up Together. Он отмечает, что игра значительно сложнее, чем Chained Together, и требует высокой точности и терпения. Несмотря на высокий уровень фрустрации, он хвалит отзывчивость механик, плавность движений и общую проработку игры, рекомендуя её любителям подобных испытаний.","Блогер считает Ride Up Together отличной игрой для тех, кто любит паркур-челленджи и готов к высоким сложностям. Он отмечает, что игра ощущается качественной, с точными механиками и хорошим темпом, хотя она может сильно раздражать из-за своей трудности. Если вам нравится Chained Together, эта игра станет отличным следующим шагом.","отзывчивые платформы; хорошая работа механик и отсутствие «кривизны»; подходит для тех, кто любит оттачивать мастерство; хорошая игра для стримов",высокая сложность; нечестные моменты в геймплее; нестабильная работа молотов; сложность выхода из контейнера,,2026-09-16 11:00
road-connect,Road Connect,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:32
rogue-circuit,Rogue Circuit,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:40
roman-sands-rebuild,Roman Sands RE:Build,готов,https://www.youtube.com/watch?v=eYKC00woZ9w,Mama Bedlam VT,243,45.0,2 years ago,en,Whisper,1,"Блогер делится впечатлениями от демоверсии Roman Sands RE:Build, отмечая игру как очень вдохновляющую и визуально впечатляющую. Ему очень понравился художественный стиль, анимации и интерфейс, который он оценил как стильный и эффективный. Блогер также выделил интересный контраст между двумя сторонами игры, которые он увидел в демо. Несмотря на то, что демо было коротким, он выразил желание приобрести полную версию игры.","Блогер в восторге от Roman Sands RE:Build, называя её «чертовски хорошей видеоигрой». Он особенно оценил визуальное исполнение, проработку анимаций и продуманный интерфейс. Несмотря на некоторые ограничения демоверсии, игра произвела на него сильное впечатление своим воображением и стилем.",впечатляющий визуальный стиль; стильный и эффективный интерфейс; вдохновляющие анимации; приятная динамика взаимодействия меню и геймплея; уникальная и оригинальная идея лифта,ограниченность возможностей в демоверсии; невозможность прыгать,,2026-09-16 10:42
runescape-dragonwilds,RuneScape: Dragonwilds,готов,https://www.youtube.com/watch?v=LnwdjHpZzqU,Let's Game It Out,2697129,23.2,1 year ago,en,Whisper,2,"В данном ролике блогер знакомится с RuneScape: Dragonwilds, исследуя её как survival-игру с элементами строительства. Он активно экспериментирует с механикой изменения ландшафта, изучает систему выживания и проверяет возможности взаимодействия с окружением, используя магию и инструменты для создания базы.","Блогер остался доволен игрой, отметив её разнообразие и креативные возможности строительства, несмотря на некоторые технические проблемы и ограничения механик.",наличие механики строительства; красивые пейзажи; гибкость системы строительства; возможность полностью изменять ландшафт; Возможность очищать воду с помощью костра,необходимость ждать восстановления выносливости; ограничение уровня прокачки; проблемы с загрузкой при возрождении из-за обилия построек; Неудобство взаимодействия с некоторыми персонажами из-за особенностей ландшафта; Ограничения в строительстве в определенных зонах,,2026-09-16 10:34
runeomicon,Runeomicon,готов,https://www.youtube.com/watch?v=CAWFNF-WJYg,Angory Tom,51800,26.3,6 months ago,en,Whisper,1,"Блогер делится впечатлениями от игры Runeomicon, в которой игроку предстоит проводить ритуалы, вручную рисуя магические руны. Он отмечает, что игра требует высокой точности и навыка рисования, что поначалу вызывает трудности. Блогер хвалит систему прогрессии, возможность кастомизации защитных сооружений и визуальный стиль игры, связанный с темой темных богов и ритуалов. Основной сложностью для него стала необходимость быстро и точно воспроизводить сложные формы рун под давлением нарастающих волн врагов.","Runeomicon — это атмосферная игра про ритуалы и темных богов, которая затягивает своей механикой рисования рун. Несмотря на то, что точность рисования может стать серьезным испытанием для игрока, возможность развивать свою оборону и собирать уникальных существ делает процесс увлекательным. Игра отлично передает ощущение прогрессии, хотя некоторые улучшения могут стоить довольно дорого.",интересная система прокачки и выбора защитных сооружений; приятная система улучшения существ и их характеристик; атмосферная тематика игры; удовлетворительная динамика боя в конце уровня,высокая сложность из-за необходимости точности рисования; высокая стоимость некоторых улучшений; недостаточно эффективное лечение,,2026-09-16 10:48
rushcremental,Rushcremental,готов,https://www.youtube.com/watch?v=U5QqXZ4vK5U,Кай стример,1625,24.3,8 months ago,ru,Whisper,1,"Блогер знакомится с инкрементальной демо-версией Rushcremental, в которой необходимо собирать металлолом, улучшать характеристики и участвовать в гонках. Он отмечает прогрессию прокачки, систему квестов и наличие челленджей, однако указывает на некоторую скудность контента в демо-версии и не всегда понятные механики.","Rushcremental представляет собой инкрементальную игру с базовыми механиками сбора ресурсов и улучшения техники. Блогер отмечает наличие системы прогрессии и квестов, но указывает на то, что демо-версия довольно ограничена по контенту и местами может быть запутанной в плане механик.",наличие системы квестов; возможность улучшения характеристик,недостаточное количество контента в демо-версии; недостаточно информативное описание ограничений улучшений; недостаточная награда за выполнение условий; непонятные механики или визуальное отображение,,2026-09-16 10:27
side-out,SIDE OUT,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:21
singularity-xzx,SINGULARITY (xzx),не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 14:00
sprawl-zero,SPRAWL zero,готов,https://www.youtube.com/watch?v=593UJzrXTlA,GmanLives,238557,24.5,5 days ago,en,Whisper,2,"В ролике блогер проходит SPRAWL zero, оценивая её как динамичный и драйвовый шутер. Автор анализирует геймплейные механики, систему способностей и визуальный стиль игры, сравнивая их с классическими проектами начала 2000-х.","Общее впечатление блогера крайне положительное: игра признана одним из лучших опытов стрельбы в последнее время благодаря отличной динамике и атмосфере. Однако автор отмечает, что драйв порой омрачается техническими проблемами, однообразными задачами и неудачной реализацией финального босса.",Игра ощущается как качественный шутер начала 2000-х с упором на физику; Один из лучших опытов стрельбы в последнее время; Визуальный стиль отлично передает атмосферу консольных игр того периода; В игре отличный саундтрек в стиле drum and bass; Разработчики успешно копируют подход к дизайну уровней из старых игр,Способность Rushdown быстро расходует энергию и кажется менее полезной; Многие элементы уровней ощущаются как намеренная «набивка» для увеличения длительности игры; Повторяющиеся задачи и необходимость возвращаться в исходную точку несколько раз; Финальный босс реализован очень плохо из-за отсутствия чекпоинта перед битвой и повторения одной и той же фазы трижды; Наличие раздражающих технических проблем в основе игры,,2026-09-16 10:03
sss-fpv,SSS-FPV,не найден,,,,,,,,3,,,,,поиск не дал подходящих роликов,2026-09-16 14:10
stilltrace,STILLTRACE,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:20
sakura-branch-blossom-puzzle,Sakura Branch: Blossom Puzzle,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:13
secrets-of-temple-isle,Secrets of Temple Isle,готов,https://www.youtube.com/watch?v=Fc0aVJh_5to,Eden Everthil,12,16.9,4 months ago,en,Whisper,2,"Блогер делится впечатлениями от процесса игры, отмечая интересное развитие сюжета и наличие забавных моментов. Он активно взаимодействует с игровым миром, комментируя поведение NPC и свои действия. Основная часть видео посвящена разбору механик, где автор предлагает конкретные улучшения интерфейса и управления для удобства геймплея.","Secrets of Temple Isle оставляет приятное впечатление благодаря интересному сюжету и атмосфере, однако игре требуется доработка интерфейса и системы управления для более плавного игрового процесса.",Интересное развитие сюжета; Приятная музыка; Разнообразные и забавные взаимодействия с NPC,Отсутствие возможности видеть урон перед покупкой предмета; Запутанная система маркеров на экране; Неудобство управления инвентарем и переключения между инструментами и оружием; Проблемы с отображением прически при скрытии брони,,2026-09-16 10:36
sect-logistics,Sect Logistics,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:25
seed-shop-tidy-up,Seed Shop: Tidy Up!,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:22
serious-sam-shatterverse,Serious Sam: Shatterverse,готов,https://www.youtube.com/watch?v=lzXM2aOxBr0,GmanLives,389585,24.8,2 weeks ago,en,Whisper,2,"В ролике блогер делится своим опытом прохождения Serious Sam: Shatterverse, анализируя основные механики и визуальный стиль проекта. Автор подробно разбирает систему прогрессии, сложность уровней и способы взаимодействия с игровым миром.","Блогер крайне разочарован игрой, считая её неудачным продуктом, который не соответствует ожиданиям фанатов и лишен уникальной идентичности серии. Его негативное мнение сохраняется на протяжении всего ролика: от критики визуального стиля и сценария до разочарования от несбалансированных механик.",интересные способности у разных версий Сэма; система получения информации об игровом мире через кодекс,"непродуманный и слишком резкий скачок сложности на уровне Shattered; плохой баланс в кооперативном режиме; недостаточное количество ресурсов для прогрессии; Игра кажется набором случайных концепций, которые не складываются в единое целое; Сюжет практически отсутствует, а сценарий написан очень плохо",,2026-09-16 10:02
